排名,标题,描述,链接,图像,热度,关注者,被浏览量,总回答数,是否在榜,是否已生成ai总结,Hash,回答1,回答1点赞数,回答2,回答2点赞数
1,影视飓风揭露视频号可发布有偿卖血视频乱象，具体情况如何？视频号平台是否涉嫌违法违规？,影视飓风揭露视频号可发布有偿卖血视频，并喊话视频号「道德底线与社会责任在哪里？」 全文如下： 视频号这个平台有点太邪恶了，我们的账号亿点点不一样被封禁，理由是涉及医学，即便我们我们每期公益医学内容都是和正规三甲医院合作，没有任何广告，没有血腥画面，提供了医院盖章的授权证明，多次沟通，平台毫不理会。 本以为这是平台的统一规定，我们只能接受，直到今天运营意外发现，居然在视频号可以公然发布有偿卖血的视频！视频里的人数着大把的钱，拉人卖血，这是国家明令禁止的违法行为。 我们尊重平台的内容政策，但是面对这种离谱的情况，实在忍不住问一句：视频号，你们这个平台的道德底线与社会责任在哪里？ 公开资料显示，影视飓风，是 2014 年由潘天鸿（Tim）创建并运营的影视领域自媒体账号 ，该账号在 bilibili 认证为 bilibili 2024 百大 UP 主、 2023 年度最高人气奖 UP 主、 2022 年度多元创新奖 UP 主； 据了解，「影视飓风」主要业务为影视教学、器材评测、优质原创短片制作、商业广告摄制、影视资源分享等。 其主要知名作品有「上升：我们一起飞上 3 万米高空」、「一个百大 UP 主的创业故事」、「十天穿越一万公里，用 12K 杜比全景声给你一场视听浪漫」等。 影视飓风喊话微信视频号：太邪恶了 竟然发布有偿卖血视频 你们道德底线与社会责任在哪,https://www.zhihu.com/question/1911544383972537715,https://picx.zhimg.com/80/v2-93c5e9744dc815bb7b3b50e220bad9b1_400x224.png,620 万热度,394,"533,571",116,False,True,44072045373355331755266570600435896724253341677443294722332799762746152425958,[],646,[],115
2,中国汽车工业协会发布倡议，反对「内卷式」恶性竞争，对行业意味着什么？车企还会打价格战吗？,关于维护公平竞争秩序，促进行业健康发展的倡议 近年来，我国新能源汽车产业快速发展，新能源汽车新车销售占比已经超过 40%。当前，行业整体运行呈现稳中向好态势，市场活力持续释放。我们也看到，一段时间以来，行业盈利水平下降，以无序「价格战」为主要表现形式的「内卷式」竞争，是行业效益下降的重要因素。产品售后服务保障、企业创新发展需要持续加大投入，而「价格战」严重影响企业正常经营，冲击产业链供应链安全，把产业发展带入恶性循环。 5 月 23 日以来，某车企率先发起大幅降价活动，多家企业跟进效仿，引发新一轮「价格战」恐慌。无序「价格战」加剧恶性竞争，将进一步挤压企业利润空间，进而影响产品质量和售后服务保障，不仅阻碍行业自身健康发展，也将危害消费者权益，并带来安全隐患。 新能源汽车是新质生产力的典型代表，正引领汽车产业加速转型升级，维护行业健康发展十分重要。中国汽车工业协会在此提出如下倡议： 1. 所有企业严格遵从公平竞争原则，依法依规开展经营活动； 2. 优势企业不为垄断市场，挤压其他主体生存空间，损害其他经营者合法权益； 3. 企业在依法降价处理商品以外，不以低于成本的价格倾销商品，不进行诱导消费者的虚假宣传，扰乱市场秩序，损害行业和消费者根本利益； 4. 所有企业应对照国家相关法律法规进行自查整改。 希望全行业同心协力，共同维护公平竞争秩序，促进行业健康、可持续发展。 中国汽车工业协会 2025 年 5 月 30 日 微信公众号截图新华社分享页,https://www.zhihu.com/question/1912060002950150115,https://pica.zhimg.com/80/v2-06ec9d0cb4d2c9293caaca7ef7788af1_400x224.jpg,523 万热度,809,"840,482",485,False,True,26185868619011674449827261780824381823246485839545591497251449711099581502670,[],345,[],301
3,为什么人类不把垃圾倾倒在活火山里？,活火山的高温不会直接融化掉所有垃圾吗？还不用人类自己烧火，也免去了填埋污染。希望有关人士解答一下。,https://www.zhihu.com/question/50578415,https://pic1.zhimg.com/80/v2-b108c26c44e797134492f6d575bddc13_400x224.gif,300 万热度,192,"460,431",89,False,True,102588693775549523838201673989108035480363864782042274313968223027067110548091,[],1056,[],259
4,今年西瓜收购价只有 2 毛一斤，有瓜农把西瓜扔池塘，现在超市西瓜仍几元一斤，为何会这样？,5 月 29 日，网民反映广西扶绥县的瓜农，因滞销和收购价低把西瓜扔池塘或烂在地里。山圩镇一名瓜农告诉记者，今年西瓜收购价只有 2 毛钱一斤，远低于往年，他预计亏损四五万元，地里有 10 万斤西瓜丢弃。一名西瓜收购商称，收购价确实便宜，可能因下雨导致市场需求变小有关。扶绥县经济作物站工作人员称，滞销西瓜以尾季瓜为主，因市场饱和导致滞销和价格偏低，已发起爱心帮扶。广西扶绥有瓜农因收购价低把西瓜扔池塘或烂地里 当地：已发起爱心帮扶 _ 腾讯新闻,https://www.zhihu.com/question/1911848991445968024,https://pic1.zhimg.com/80/v2-1e66ddc7da0f365a020f434dcba22e67_400x224.png,247 万热度,121,"126,658",55,False,True,48408561779908205867487897901208757146245617281025569012877475360010917672075,[],85,[],22
5,为什么那么多人宁愿月薪五六千，上下班挤地铁，每月剩不了几个钱也要留在大城市生活？,引发人们对大城市生活吸引力与个人生活选择的思考。,https://www.zhihu.com/question/1911319943682700530,https://pica.zhimg.com/80/v2-9e3df31016c9fda33b898e342b49cc0b_400x224.png?source=1def8aca,167 万热度,120,"84,024",67,False,True,45968392748923454723583803341866199196728791797364429827867484580673851421146,[],121,[],36
6,国际调解院《公约》签署，这份公约具有哪些效力？国际调解院是一个怎样的组织？,5 月 30 日上午，国际调解院公约签署仪式在中国香港举行。中共中央政治局委员、外交部长王毅出席签署仪式。 来自亚洲、非洲、拉丁美洲、欧洲 60 多个国家和联合国等近 20 个国际组织的高级别代表、前政要以及国际知名专家共同出席当天的签署仪式。下午，还举办国际调解论坛，围绕「国家间争端调解」和「国际投资商事争端调解」展开研讨。 2022 年，中国与近 20 个立场相近国家共同发起建立国际调解院的倡议。经过共同努力，已经完成《关于建立国际调解院的公约》谈判，并一致同意国际调解院总部设在中国香港。 国际调解院着眼以调解定分止争，是全球首个专门通过调解解决国际争端的政府间法律组织，是维护《联合国宪章》宗旨原则的重要机制。国际调解院公约签署仪式在中国香港举行,https://www.zhihu.com/question/1911728699411228399,https://pic1.zhimg.com/v2-bc75ca9333d99d51ba1507021c504890_400x224.jpg,137 万热度,67,"51,722",25,False,True,78307966301317995704692553450303146878413296122601754700535375958246581757450,[],8,[],9
7,女子 6.8 元网购 10 斤花生米到手只有 10 粒，涉事店铺已注销，这一情况是否可向平台索赔？,5 月 26 日，据媒体报道，上海的卞女士在某直播平台观看带货直播时，商家宣称「6.81 元购买 10 斤花生米，保证质量无问题」。 卞女士下单后，收到的包裹仅有 10 粒花生米，与宣传的「10 斤”相差悬殊。 她尝试联系商家时发现店铺已注销，发货方电话也无法接通。 卞女士表示，商家行为明显存在误导，自己感觉被欺骗，目前已向平台投诉，但尚未得到有效解决。 案件发生以后，有网友表示，6 块 8 买 10 斤花生米？商家是慈善家还是你脑子进水了？这价格连花生壳都买不到！直播平台天天喊‘严管’，结果骗子照样卷钱跑路，平台抽完佣金就装瞎，合着消费者就是韭菜呗？建议直接封了这种平台，省的祸害人！” 也有网友认为，10 粒花生米够塞牙缝吗？商家是把消费者当猴耍呢！直播带货门槛低到地心，阿猫阿狗都能开播骗钱，平台审核形同虚设。这年头，骗子嚣张到连演戏都懒得演了——反正注销店铺换个马甲继续骗，最后吃亏的永远是老实人！」 6.8 元网购 10 斤花生米到手只有 10 粒，当事人：店铺都注销了 _ 高清 1080P 在线观看平台 _ 腾讯视频,https://www.zhihu.com/question/1910326110253709092,https://pic1.zhimg.com/80/v2-95803c33e9b01920c64a7a6e2e7f6c52_400x224.png?source=1def8aca,115 万热度,45,"133,696",38,False,True,57170338210733146298106786254894980215408746851310831822396257302719199243948,[],59,[],5
8,银川烧烤店 31 死爆炸案宣判，15 人分别被判处六年至一年不等有期徒刑，怎样从法律角度解读？,2025 年 5 月 30 日上午，银川市兴庆区人民法院依法对宁夏银川富洋烧烤店「6·21」特别重大燃气爆炸事故涉刑事案件一审公开宣判。 对银川富洋烧烤民族街店投资人、实际经营者张洪显和刘国，宁夏龙江清洁能源有限公司实际控制人崔文波，宁夏国华检测技术有限公司法定代表人、股东周志国等 15 名被告人，依法以重大责任事故罪或提供虚假证明文件罪分别判处六年至一年不等有期徒刑，禁止其中 3 名被告人一定期限内从事相关职业，并对其中 3 名罪责较轻、符合法定条件的一线员工依法适用缓刑。 一审审理查明，2023 年 6 月 21 日 20 时 37 分许，银川市兴庆区富洋烧烤民族街店发生特别重大燃气爆炸事故。此次事故是一起因相关企业违法违规检验、经营，并配送不符合标准的液化石油气瓶，烧烤店在使用中违规操作发生泄漏爆炸等造成的生产安全责任事故。 一审法院认为，被告人张洪显等 12 人在生产、作业中违反有关燃气安全管理规定，因而发生特别重大责任事故，给人民群众生命财产造成重大损失，情节特别恶劣，行为均构成重大责任事故罪；被告人周志国等 3 人身为液化石油气检测机构工作人员，故意提供虚假证明文件，情节严重，行为均构成提供虚假证明文件罪。根据各被告人犯罪的事实、性质、情节、造成的危害后果以及在犯罪中所起作用，依法作出上述判决。案件审判过程中，法庭依法保障了各被告人的诉讼权利。 宣判后，崔文波等被告人当庭表示认罪服判、不上诉。部分人大代表、政协委员、群众代表，以及部分被害人和被告人亲属等旁听了案件宣判。更多资讯请下载央视新闻客户端,https://www.zhihu.com/question/1911739929010074583,https://picx.zhimg.com/80/v2-f795653608c9ff27b6c8210521707f66_400x224.png?source=1def8aca,112 万热度,140,"221,582",41,False,True,66251435821873148253653200243793555174317499209117031187289683939875632542861,[],202,[],12
9,为啥广东这么潮湿，但是广东人基本不吃辣椒排湿？,广东时候还是偏向潮湿的，其他地方一般都是吃辣椒排湿，但老广这边非但不吃辣椒，还天天喝汤，这不会导致湿气过重吗？,https://www.zhihu.com/question/1911398623553513175,https://pica.zhimg.com/v2-e89a168139e105ba59c7719636ada46c_400x224.jpg?source=1def8aca,110 万热度,191,"204,000",94,False,True,8142296381777552965327984004912913682368167718628548258201273516665893385773,[],120,[],39
10,曹德旺称福耀科技大学首年 8 亿预算，体制、机制对标斯坦福，采取本硕博贯通培养模式，怎样看待这种模式？,据九派新闻 5 月 28 日消息，近期，曹德旺在接受采访时表示，福耀科技大学首年 8 亿元预算招 50 个学生。 曹德旺称：「我们是从体制上、机制上对标斯坦福。斯坦福一年花费 20 亿美金，不从汇率考虑，花费的效果是一样的。8 亿元的花费是包含实验室设备的，斯坦福也是一样计算进去的。」 据大皖新闻，5 月 21 日，福建福耀科技大学发布 2025 本科生招生手册，从师资队伍、人才培养、产教合作等方面介绍了相关情况。 招生手册信息显示，福耀科技大学今年招生的省份有福建、河南、广西、湖南、江西，招生数量为 100 人以内，录取的专业是智能制造工程。 招生手册中介绍，福耀科技大学本科生在大一和大二阶段上公共通识课，大二下学期选择专业，大三选择专业课程、接受专业训练，大四到境外名校学习。据介绍，福耀科技大学与国内多家企业建立了产教合作网络，其中包括福耀集团、中国一汽、蔚来汽车、奇瑞汽车、百度、中国移动等。 据《福州晚报》此前 3 月 22 日消息，今年该校计划招收 100 名以内学生，学费每年 5460 元，采取本硕博贯通培养模式，本科阶段将获得双学位。 3 月 21 日，人工智能时代拔尖创新人才培养座谈会在福耀科技大学举办。 报道称，该校与剑桥大学、牛津大学、斯坦福大学、麻省理工学院等数十家国外及港澳台地区著名大学合作教学。 学生在大一、大二将在文理学院接受公共通识课教育，今年招收的学生在大二下学期可以选择计算机科学与技术、智能制造工程、车辆工程、材料科学与工程等 4 个专业。（学校专业设置按教育部有关规定办理，同意首批设置计算机科学与技术、智能制造工程、车辆工程、材料科学与工程等 4 个普通本科专业，数字经济与管理学院、生命与健康科学学院正在审批中。） 大三学习专业课程，接受专业训练。大四到合作的境外名校学习一年。本科阶段，学生将获得福耀科技大学及境外名校的双学位。继续攻读硕士、博士学位的学生，在毕业后将获得与福耀科技大学合作的境外名校的硕士或博士学位。 据中国福建官方微信号 3 月 11 日消息，福耀科技大学专业设置按教育部有关规定办理， 福建福耀科技大学由河仁慈善基金会首期捐资 100 亿元创办，西安交通大学原校长王树国担任校长，学校类型为全日制普通本科学校。福耀科技大学官网最新信息显示，曹德旺任福耀科技大学理事长。,https://www.zhihu.com/question/1911352747938243403,https://picx.zhimg.com/80/v2-ecc2f1342c313b5358714975ce88415c_400x224.png,109 万热度,197,"238,782",112,False,True,66068205016873906323906849767324909034661244946500942867054119594296860589180,[],60,[],157
